Name,Division,Records
Asjabharan _,Bantamweight Division,0-0-0 (W-L-D)
Yibugele -,N/A,N/A
Angga -,Featherweight Division,0-1-0 (W-L-D)
Danny Abbadi,Lightweight Division,2-2-0 (W-L-D)
Nariman Abbassov,Lightweight Division,0-1-0 (W-L-D)
Tank Abbott,Heavyweight Division,8-10-0 (W-L-D)
Hamdy Abdelwahab,Heavyweight Division,5-0-0 (W-L-D)
Shamil Abdurakhimov,Heavyweight Division,20-8-0 (W-L-D)
Daichi Abe,Welterweight Division,6-1-0 (W-L-D)
Papy Abedi,Middleweight Division,9-3-0 (W-L-D)
Klidson Abreu,Light Heavyweight Division,15-4-0 (W-L-D)
Ricardo Abreu,Middleweight Division,5-1-0 (W-L-D)
John Adajar,Welterweight Division,0-1-0 (W-L-D)
Juan Adams,Heavyweight Division,5-3-0 (W-L-D)
Scott Adams,Heavyweight Division,6-0-0 (W-L-D)
Anthony Adams,Middleweight Division,8-2-0 (W-L-D)
Zarrukh Adashev,Flyweight Division,4-4-0 (W-L-D)
Israel Adesanya,Middleweight Division,24-2-0 (W-L-D)
Sam Adkins,Light Heavyweight Division,0-0-0 (W-L-D)
Nick Agallar,Lightweight Division,12-3-0 (W-L-D)
Mariya Agapova,Women's Flyweight Division,10-4-0 (W-L-D)
Fabio Agu,Middleweight Division,0-0-0 (W-L-D)
Marcello Aguiar,Welterweight Division,0-0-0 (W-L-D)
Kevin Aguilar,Featherweight Division,17-5-0 (W-L-D)
Jesus Aguilar,Flyweight Division,8-2-0 (W-L-D)
Jessica Aguilar,Women's Strawweight Division,20-8-0 (W-L-D)
Christian Aguilera,Welterweight Division,14-8-0 (W-L-D)
Nick Aguirre,Featherweight Division,7-1-0 (W-L-D)
Ashiek Ajim,Bantamweight Division,0-1-0 (W-L-D)
Omari Akhmedov,Middleweight Division,21-6-1 (W-L-D)
Yoshihiro Akiyama,Welterweight Division,15-6-0 (W-L-D)
Rostem Akman,Welterweight Division,0-2-0 (W-L-D)
Mostapha Al Turk,Heavyweight Division,6-6-0 (W-L-D)
Razak Al-Hassan,Light Heavyweight Division,7-2-0 (W-L-D)
Ali Al-Qaisi,Bantamweight Division,8-5-0 (W-L-D)
Herdem Alacabek,Light Heavyweight Division,0-0-0 (W-L-D)
Alatengheili,Bantamweight Division,16-8-1 (W-L-D)
Amir Albazi,Flyweight Division,16-1-0 (W-L-D)
John Albert,Bantamweight Division,7-5-0 (W-L-D)
Junior Albini,Heavyweight Division,14-6-0 (W-L-D)
Wes Albritton,Lightweight Division,0-0-0 (W-L-D)
Alexandra Albu,Women's Strawweight Division,7-2-0 (W-L-D)
Ildemar Alcantara,Middleweight Division,21-8-0 (W-L-D)
Iuri Alcantara,Bantamweight Division,35-10-0 (W-L-D)
Alfonso Alcarez,Lightweight Division,0-0-0 (W-L-D)
Gilbert Aldana,Heavyweight Division,5-0-0 (W-L-D)
Irene Aldana,Women's Bantamweight Division,14-6-0 (W-L-D)
Hector Aldana,Welterweight Division,4-2-0 (W-L-D)
Jose Alday,Bantamweight Division,0-1-0 (W-L-D)
José Aldo,Bantamweight Division,31-8-0 (W-L-D)
JJ Aldrich,Women's Flyweight Division,11-6-0 (W-L-D)
Irina Alekseeva,Women's Bantamweight Division,4-1-0 (W-L-D)
